num_expediente;fecha;hora;localizacion;numero;cod_distrito;distrito;tipo_accidente;estado_meteorológico;tipo_vehiculo;tipo_persona;rango_edad;sexo;cod_lesividad;lesividad;coordenada_x_utm;coordenada_y_utm;positiva_alcohol;positiva_droga
2024S021555;07/07/2024;11:25:00;CALL. BAILEN / CALL. MAYOR;21;1;CENTRO;Colisión fronto-lateral;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 50 a 54 años;Hombre;1;Atención en urgencias sin posterior ingreso;439469;4474072;N;NULL
2024S021555;07/07/2024;11:25:00;CALL. BAILEN / CALL. MAYOR;21;1;CENTRO;Colisión fronto-lateral;Despejado;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;439469;4474072;N;NULL
2024S021556;07/07/2024;12:29:00;CALL. MARCELO USERA, 29;29;12;USERA;Alcance;Despejado;Turismo;Conductor;De 50 a 54 años;Hombre;14;Sin asistencia sanitaria;440407;4470880;S;NULL
2024S021556;07/07/2024;12:29:00;CALL. MARCELO USERA, 29;29;12;USERA;Alcance;Despejado;Turismo;Conductor;De 55 a 59 años;Hombre;14;Sin asistencia sanitaria;440407;4470880;N;NULL
2024S021557;06/07/2024;13:20:00;CALL. MAGNOLIAS, 35;35;6;TETUÁN;Colisión lateral;NULL;Turismo;Conductor;De 21 a 24 años;Hombre;14;Sin asistencia sanitaria;441294;4479981;N;NULL
2024S021557;06/07/2024;13:20:00;CALL. MAGNOLIAS, 35;35;6;TETUÁN;Colisión lateral;NULL;Turismo;Conductor;De 21 a 24 años;Hombre;14;Sin asistencia sanitaria;441294;4479981;N;NULL
2024S021558;07/07/2024;13:30:00;CALL. FERNANDEZ DE LA HOZ, 42;42;7;CHAMBERÍ;Colisión lateral;Despejado;Turismo;Conductor;De 30 a 34 años;Hombre;NULL;NULL;441067;4476258;N;NULL
2024S021558;07/07/2024;13:30:00;CALL. FERNANDEZ DE LA HOZ, 42;42;7;CHAMBERÍ;Colisión lateral;Despejado;Turismo;Conductor;De 70 a 74 años;Mujer;NULL;NULL;441067;4476258;N;NULL
2024S021559;07/07/2024;12:40:00;CALL. EMBAJADORES / CALL. SANTA CATALINA;488;13;PUENTE DE VALLECAS;Caída;Despejado;Bicicleta;Conductor;De 40 a 44 años;Mujer;7;Asistencia sanitaria sólo en el lugar del accidente;442628;4468926;N;NULL
2024S021560;07/07/2024;13:15:00;CALL. MAGNOLIAS / CALL. SAN LEOPOLDO;30;6;TETUÁN;Colisión fronto-lateral;Despejado;Motocicleta hasta 125cc;Conductor;De 21 a 24 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;441359;4480122;N;NULL
2024S021560;07/07/2024;13:15:00;CALL. MAGNOLIAS / CALL. SAN LEOPOLDO;30;6;TETUÁN;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 25 a 29 años;Hombre;14;Sin asistencia sanitaria;441359;4480122;N;NULL
2024S021560;07/07/2024;13:15:00;CALL. MAGNOLIAS / CALL. SAN LEOPOLDO;30;6;TETUÁN;Colisión fronto-lateral;Despejado;Turismo;Pasajero;De 25 a 29 años;Mujer;14;Sin asistencia sanitaria;441359;4480122;N;NULL
2024S021560;07/07/2024;13:15:00;CALL. MAGNOLIAS / CALL. SAN LEOPOLDO;30;6;TETUÁN;Colisión fronto-lateral;Despejado;Turismo;Pasajero;De 30 a 34 años;Mujer;14;Sin asistencia sanitaria;441359;4480122;N;NULL
2024S021560;07/07/2024;13:15:00;CALL. MAGNOLIAS / CALL. SAN LEOPOLDO;30;6;TETUÁN;Colisión fronto-lateral;Despejado;Turismo;Pasajero;De 30 a 34 años;Mujer;14;Sin asistencia sanitaria;441359;4480122;N;NULL
2024S021561;07/07/2024;13:45:00;CALL. SINESIO DELGADO / AVDA. ASTURIAS;15;6;TETUÁN;Alcance;Despejado;Turismo;Conductor;De 35 a 39 años;Hombre;14;Sin asistencia sanitaria;440437;4480517;N;NULL
