num_expediente,fecha,hora,timestamp,localizacion,numero,cod_distrito,distrito,tipo_accidente,estado_meteorológico,tipo_vehiculo,tipo_persona,rango_edad,sexo,cod_lesividad,lesividad,coordenada_x_utm,coordenada_y_utm,coordenadas,positiva_alcohol,positiva_droga
2024S020059,18/06/2024,15:50:00,2024-06-18T15:50:00Z,CALL. MANUEL MACHADO / CALL. CORREGIDOR DIEGO DE VALDERRABANO,2,14,MORATALAZ,Choque contra obstáculo fijo,Despejado,Turismo,Conductor,Más de 74 años,Hombre,77,Se desconoce,444150.391,4473857.658,"444150.391, 4473857.658",0,0
2024S020061,18/06/2024,15:40:00,2024-06-18T15:40:00Z,CALL. EL PROVENCIO / Farola 14,14,16,HORTALEZA,Choque contra obstáculo fijo,Nublado,Turismo,Conductor,De 55 a 59 años,Hombre,14,Sin asistencia sanitaria,446687.139,4479432.489,"446687.139, 4479432.489",0,0
2024S020062,18/06/2024,15:30:00,2024-06-18T15:30:00Z,"CALL. BRAVO MURILLO, 124",124,6,TETUÁN,Colisión fronto-lateral,Despejado,Turismo,Conductor,De 45 a 49 años,Hombre,77,Se desconoce,440341.952,4477871.497,"440341.952, 4477871.497",0,0
2024S020062,18/06/2024,15:30:00,2024-06-18T15:30:00Z,"CALL. BRAVO MURILLO, 124",124,6,TETUÁN,Colisión fronto-lateral,Despejado,Turismo,Conductor,De 55 a 59 años,Hombre,77,Se desconoce,440341.952,4477871.497,"440341.952, 4477871.497",0,0
2024S020063,18/06/2024,16:10:00,2024-06-18T16:10:00Z,"CALL. EMBAJADORES, 14",14,1,CENTRO,Choque contra obstáculo fijo,Despejado,Bicicleta,Conductor,Desconocido,Mujer,77,Se desconoce,440052.018,4473536.78,"440052.018, 4473536.78",0,0
2024S020063,18/06/2024,16:10:00,2024-06-18T16:10:00Z,"CALL. EMBAJADORES, 14",14,1,CENTRO,Choque contra obstáculo fijo,Despejado,Turismo,Conductor,De 25 a 29 años,Hombre,77,Se desconoce,440052.018,4473536.78,"440052.018, 4473536.78",0,0
2024S020064,18/06/2024,17:20:00,2024-06-18T17:20:00Z,"AVDA. BARRANQUILLA, 5",5,16,HORTALEZA,Colisión múltiple,Despejado,Turismo,Conductor,De 40 a 44 años,Hombre,14,Sin asistencia sanitaria,445778.12,4480519.376,"445778.12, 4480519.376",0,0
2024S020064,18/06/2024,17:20:00,2024-06-18T17:20:00Z,"AVDA. BARRANQUILLA, 5",5,16,HORTALEZA,Colisión múltiple,Despejado,Turismo,Conductor,De 50 a 54 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,445778.12,4480519.376,"445778.12, 4480519.376",0,0
2024S020064,18/06/2024,17:20:00,2024-06-18T17:20:00Z,"AVDA. BARRANQUILLA, 5",5,16,HORTALEZA,Colisión múltiple,Despejado,Turismo,Conductor,De 65 a 69 años,Hombre,14,Sin asistencia sanitaria,445778.12,4480519.376,"445778.12, 4480519.376",0,0
2024S020064,18/06/2024,17:20:00,2024-06-18T17:20:00Z,"AVDA. BARRANQUILLA, 5",5,16,HORTALEZA,Colisión múltiple,Despejado,Turismo,Pasajero,De 55 a 59 años,Mujer,7,Asistencia sanitaria sólo en el lugar del accidente,445778.12,4480519.376,"445778.12, 4480519.376",0,0
